movieskey,moviename,comment,award1,award2,award3,counted,voteforme,deathtype,deathcount,deathcomment,disputes
1585,The Wild Bunch,<br /> (She fucked your groceries up!),<br />&#9733;Best Insults - 2014&#9733;,,,,,,1145,"138, 2 horses, 5 scorpions and 1,000 ants",0
1586,"Se7en, Seven",,,,,,,,5,4 and a fetus,0
1587,Million Dollar Baby,,,,,,,,1,1,0
1588,American Beauty,,,,,,,,1,1,0
1589,Once Upon a Time in the West,,<br />&#9733;Worst Harmonica Tune - 2014&#9733;,,,,,,35,33 and 2 birds,0
1590,The Vicious Kind,,,,,,,,0,0,0
1591,Mr. Popper's Penguins,,,,,,,,0,0,0
1592,Intimate Affairs,,,,,,,,0,0,0
1593,Source Code,,,,,,,,0,0,0
1594,Jack Goes Boating,,,,,,,,0,0,0
1595,Sharknado,,,,,,,,228,"22 people, 205 sharks and a duck",0
1596,Starman,,,,,,,,0,0,0
1597,Sleeper,,,,,,,,0,0,0
1598,Mr. & Mrs. Smith (1941),,,,,,,,0,0,0
1599,Julie & Jack,,,,,,,,0,0,0
1600,Amanda,,,,,,,,0,0,0
1601,What Dreams May Come,,,,,,,,4,4,0
1602,Gentlemen Broncos,,,,,,,,0,0,0
1603,"L!fe Happens, Life Happens",,,,,,,,0,0,0
1604,"Tattoo, a Love Story",,,,,,,,0,0,0
1605,"Jeff, Who Lives at Home, Jeff Who Lives at Home",,,,,,,,0,0,0
1606,The Babymakers,,,,,,,,0,0,0
1607,What's Eating Gilbert Grape,,,,,,,,3,2 and a grasshopper,0
1608,Let the Right One In,,,,,,,,8,8,0
1609,Compliance,,,,,,,,0,0,0
1610,Waking Madison,,,,,,,,0,0,0
1611,Labyrinth,,,,,,,,0,0,0
1612,Cinema Verite,,,,,,,,0,0,0
1613,Moneyball,,,,,,,,0,0,0
1614,Valhalla Rising,,,,,,,,16,16,0
1615,Lost in Translation,,,,,,,,0,0,0
1616,American Loser,,,,,,,,0,0,0
1617,What Doesn't Kill You,,,,,,,,0,0,0
1618,Foolproof,,,,,,,,0,0,0
1619,The Last Word (2008),,,,,,,,0,0,0
1620,Lemony Snicket's A Series of Unfortunate Events,,,,,,,,4,4,0
1621,The Big Wedding,,,,,,,,0,0,0
1622,Eternal Sunshine of the Spotless Mind,,,,,,,,0,0,0
1623,Juno,,,,,,,,0,0,0
1624,Freaky Friday ,,,,,,,,0,0,0
1625,My Big Fat Greek Wedding,,,,,,,,0,0,0
1626,Aladdin,,,,,,,,1,1,0
1627,The Return of Jafar,,,,,,,,1,1,0
1628,Prozac Nation,,,,,,,,0,0,0
1629,Jumanji,,,,,,,,0,0,0
1630,Go,,,,,,,,0,0,0
1631,God Bless America ,,,,,,,,31,31,0
1632,The Birdcage,,,,,,,,0,0,0
1633,Desert Hearts,,,,,,,,0,0,0
1634,It,,,,,,,,9,8 and Pennywise,0
1635,Serpico,,,,,,,,0,0,0
1636,Next Stop Wonderland,,,,,,,,0,0,0
1637,Trance,,,,,,,,5,5,0
1638,Killing Them Softly,,,,,,,,3,3,0
1639,Mr. Nobody,,,,,,,,0,0,0
1640,Barry Munday,,,,,,,,0,0,0
1641,Now You See Me,,,,,,,,0,0,0
1642,Bullet to the Head,,,,,,,,33,33,0
1643,The Giant Mechanical Man,,,,,,,,0,0,0
1644,Dream a Little Dream,,,,,,,,0,0,0
1645,The Vow,,,,,,,,0,0,0
1646,The Prophecy,,,,,,,,6,4 people and 2 angels,0
1648,The Breakfast Club,,,,,,,,0,0,0
1649,Goats,,,,,,,,0,0,0
1650,The Prophecy 3: The Ascent,,,,,,,,4,2 people and 2 angels,0
1651,Saved!,,,,,,,,0,0,0
1652,The Prophecy: Uprising,,,,,,,,18,18,0
1653,The Prophecy: Forsaken,,,,,,,,2,2,0
1654,Wag the Dog,,,,,,,,4,4,0
1655,The Holiday,,,,,,,,0,0,0
1656,Wreckage,,,,,,,,8,7 and a dog,0
1657,Hitch,,,,,,,,0,0,0
1658,Die,,,,,,,,6,6,0
1659,Mirror Mirror,,,,,,,,0,0,0
1660,Dark Nature,,,,,,,,13,"9, a pheasant and 3 rabbits",0
1661,The Pill,,,,,,,,0,0,0
1662,Big Fish,,,,,,,,1,1,0
1663,"Me, Myself & Irene",,,,,,,,1,1,0
1664,Sexting,,,,,,,,0,0,0
1665,We Need to Talk About Kevin,,,,,,,,5,4 and a guinea pig,0
1666,The Best Exotic Marigold Hotel,,,,,,,,1,1,0
1667,August: Osage County,,,,,,,,1,1,0
1668,Won't Back Down,,,,,,,,0,0,0
1669,The Internship,,,,,,,,0,0,0
1670,Out of the Furnace,,,,,,,,8, 7 and a deer,0
1671,12 Angry Men,,,,,,,,0,0,0
1672,Camille,,,,,,,,3,2 and a blue horse,0
1673,Take This Waltz,,,,,,,,0,0,0
1674,Misery,,,,,,,,2,2,0
1675,Scary Movie 2,,,,,,,,5,5,0
1676,The Princess Bride,,,,,,,,0,0,0
1677,Scary Movie 3,,,,,,,,15,12 and 3 aliens,0
1678,Silver Linings Playbook,,,,,,,,0,0,0
1679,Scary Movie 4,,,,,,,,21,21,0
1680,Admission,,,,,,,,0,0,0
1681,Scary Movie 5,,,,,,,,3,"1, a chicken and a bird",0
1682,Now and Then,,,,,,,,0,0,0
1683,Scream 3,,,,,,,,10,10,0
1684,The Kitchen,,,,,,,,0,0,0
1685,Minority Report,"<br />""When you dig up the past all you get is dirty.""",,,,,,,3,3,0
1686,Ghost Dad,,,,,,,,0,0,0
1687,Scream 4,,,,,,,,12,12,0
1688,Children of the Corn II: The Final Sacrifice,,,,,,,,29,28 and a cat,0
1689,Children of the Corn III: Urban Harvest,,,,,,,,20,"18, a bug and a corn monster",0
1690,Children of the Corn IV: The Gathering,,,,,,,,8,7 and a cricket,0
1691,Children of the Corn V: Fields of Terror,,,,,,,,18,18 and a fire monster,0
1692,Children of the Corn 666: Isaac's Return,,,,,,,,8,7 and a bug,0
1693,Children of the Corn: Revelation,,,,,,,,19,19,0
1694,Children of the Corn: Genesis,,,,,,,,3,3,0
1695,Children of the Corn (2009),,,,,,,,10,9 and a pig,0
1696,The Truman Show,,,,,,,,0,0,0
1697,Dick Tracy (1990),,,,,,,,29,29,0
1698,Mean Streets,,,,,,,,1,1,0
1699,What Planet Are You From?,,,,,,,,2,2,0
1700,Mallrats,,,,,,,,0,0,0
1701,Airport (1970),,,,,,,,1,1,0
1702,Gone Girl,,,,,,,,1,1,0
1703,Finder's Fee,,,,,,,,0,0,0
1704,After Earth,,,,,,,,51,"21, 20 monkeys, 7 giant bird babies, 1 cave rat (eaten by a flying snake!), 1 giant bird and 1 URSA",0
1705,Hedwig and the Angry Inch,,,,,,,,0,0,0
1706,The Monuments Men,,,,,,,,5,5,0
1707,Beyond the Time Barrier,,,,,,,,27,25 and 2 mutants,0
1708,13 Going on 30,,,,,,,,0,0,0
1709,Night of the Demons 2,,,,,,,,9,8 people and a demon,0
1710,The Rescuers,,,,,,,,0,0,0
1711,The Croods,,,,,,,,23,"17, a ram bird egg, a land whale, a mammoth, a scorpion, a bird crocodile and a giant flying bug",0
1712,Rocky III,,,,,,,,1,1,0
1713,DeepStar Six,,,,,,,,10,9 people and 1 giant ugly sea creature,0
1714,Bringing Up Bobby,,,,,,,,0,0,0
1715,Titus,,,,,,,,12,11 and a fly,0
1716,Robin Hood (1973),,,,,,,,0,0,0
1717,Apollo 13,,,,,,,,3,3,0
1718,The Guilt Trip,,,,,,,,0,0,0
1719,Interstellar,,,,,,,,6,6,0
1720,Her,,,,,,,,0,0,0
1721,Fear and Loathing in Las Vegas,,,,,,,,1,1 bat,0
1722,"Honey, I Shrunk the Kids",,,,,,,,1,1 ant,0
1723,Edge of Tomorrow,,,,,,,,0,0,0
1724,Dead Poets Society,,,,,,,,1,1,0
1725,Dallas Buyers Club,,,,,,,,1,1,0
1726,Safe House,,,,,,,,27,27,0
1727,Assault on Wall Street,,,,,,,,37,37,0
1728,The Switch,,,,,,,,10,A headful of lice,0
1729,Scrooged,,,,,,,,2,2,0
1730,Don Jon,,,,,,,,0,0,0
1731,Philadelphia,,,,,,,,1,1,0
1732,Little Miss Sunshine,,,,,,,,1,1,0
1733,Pirate Radio,,,,,,,,0,0,0
1734,New Year's Eve,,,,,,,,1,1,0
1735,The Hot Flashes,,,,,,,,0,0,0
1736,October Sky,,,,,,,,1,1,0
1737,White Reindeer,,,,,,,,1,1,0
1738,Carrie (2013),,,,,,,,17,16 and a pig,0
1739,Jack Ryan: Shadow Recruit,,,,,,,,14,14,0
1740,Paranormal Activity: The Marked Ones,,,,,,,,7,7,0
1741,Filth,,,,,,,,2,2,0
1742,Divergent,,,,,,,,31,31,0
1743,25th Hour,,,,,,,,0,0,0
1744,Sleeping Beauty,,,,,,,,1,1,0
1745,The Little Mermaid: Ariel's Beginning,,,,,,,,1,1,0
1746,The Five-Year Engagement,,,,,,,,4,4,0
1747,It Runs in the Family ,,,,,,,,47,47 fish,0
1748,Popcorn,,,,,,,,7,7,0
1749,Prince Avalanche ,,,,,,,,4,3 fish and a squirrel,0
1750,The Normal Heart,,,,,,,,4,4,0
1751,Love Sick Love,,,,,,,,2,2,0
1752,See Girl Run,,,,,,,,0,0,0
1753,Bernie,,,,,,,,1,1,0
1754,The Game,,,,,,,,1,1,0
1755,Let Go,,,,,,,,0,0,0
1756,Falcon Rising,,,,,,,,34,34,0
1757,Identity Thief,,,,,,,,0,0,0
1758,The Chronicles of Riddick,,,,,,,,2000177,"80 humans, 96 Necromongers (aka Monger Lords), 1 quasi dead and a planet",0
1759,Riddick,,,,,,,,63,"9 humans, 3 Necromongers (aka Monger Lords), 1 alien bird, 2 alien jackals, 4 alien eels, 42 mud demons and 2 mud demon babies",0
1760,Red Dragon,,,,,,,,4,4,0
1761,Flight,,,,,,,,6,6,0
1762,The Call,,,,,,,,2,2,0
1763,Where the Wild Things Are,,,,,,,,0,0,0
1764,The Glass House,,,,,,,,7,7,0
1765,The Interview,,,,,,,,30,29 and a tiger,0
1766,Girl Most Likely,,,,,,,,0,0,0
1768,Forces of Nature,,,,,,,,1,1 seagull,0
1767,The Yards,,,,,,,,2,2,0
1769,Under the Tuscan Sun,,,,,,,,1,1 scorpion and a washing machine,0
1770,Chef,,,,,,,,0,0,0
1771,Karla,,,,,,,,3,3,0
1772,Oculus,,,,,,,,4,4,0
1773,Phantoms,,,,,,,,9,8 and a dog,0
1774,Mental,,,,,,,,0,0,0
1775,Winter's Tale,,,,,,,,19,19,0
1776,Birdman,,,,,,,,0,0,0
1777,Jay and Silent Bob Strike Back,,,,,,,,1,1,0
1778,A Knight's Tale,,,,,,,,1,1,0
1779,Full Metal Jacket,,,,,,,,29862,"29,862",0
1780,Hamlet (1996),,,,,,,,11,11,0
1781,Good Will Hunting,,,,,,,,0,0,0
1826,The Uninvited (2009),,,,,,,,0,0,0
1782,Stake Land,,,,,,,,43,"20 people, 20 vampires, a forest animal, a baby and a fetus",0
1783,All the Boys Love Mandy Lane,,,,,,,,8,7 and a bull,0
1784,Texas Chainsaw 3D ,,,,,,,,14,14,0
1785,The Pursuit of Happyness,,,,,,,,0,0,0
1786,Cowboys & Aliens,,,,,,,,130,"35 people, 11 horses, 44 cows and 40 aliens",0
1787,Better Living Through Chemistry,,,,,,,,1,1,0
1788,Nymphomaniac: Volume 1,,,,,,,,1,1,0
1789,Once Upon a Time in America,,,,,,,,11,11,0
1790,Draft Day,,,,,,,,0,0,0
1791,Tarzan,,,,,,,,12,"3 people, 1 gorilla, 1 gorilla baby, 1 leopard and 6 bugs",0
1792,State of Emergency,,<br />&#9733;Most Predictable - 2015&#9733;,,,,,,9,1 and 8 infected,0
1793,ATM,,,,,,,,5,5,0
1794,"Honey, We Shrunk Ourselves",,,,,,,,0,0,0
1795,Dreamcatcher,,,,,,,,108,"14 people, 1 dog, 1 deer, 29 giant alien ass penis monsters, 3 alien ass worms, 19 alien ass worm babies, 40 alien ass worm eggs and 1 Duddits",0
1796,Toy Soldiers,,,,,,,,18,18,0
1797,Ace Ventura: Pet Detective,,,,,,,,2,1 and a bug,0
1798,Escape From Tomorrow,,,,,,,,2,1 and an android,0
1799,Adaptation,,,,,,,,9,6 and 3 dinosaurs,0
1800,Lord of War,,,,,,,,69,69,0
1801,Black Sunday (1960) a.k.a The Mask of Satan,,,,,,,,9,"6, 1 bat and 2 dogs",0
1802,The Secret Life of Walter Mitty,,,,,,,,0,0,0
1803,Dark Planet,,,,,,,,17,17,0
1804,Iron Golem a.k.a. Iron Invader a.k.a. Metal Shifters,,,,,,,,8,7 and 1 alien bacteria defeated by whiskey,0
1805,Haunter,,,,,,,,1,1,0
1806,Mother's Boys,,,,,,,,1,1,0
1807,Amityville 3-D,,,,,,,,4,4,0
1808,Captain Phillips,,,,,,,,3,3,0
1809,City of God,,,,,,,,43,43,0
1810,Violet & Daisy,,,,,,,,20,20,0
1811,Devil Seed,,,,,,,,3,3,0
1812,Showgirls,,,,,,,,0,0,0
1813,Henry: Portrait of a Serial Killer,,,,,,,,10,10,0
1814,The China Syndrome,,,,,,,,1,1,0
1815,One True Thing,,,,,,,,1,1,0
1816,Black Rock,,,,,,,,4,4,0
1817,4.3.2.1,,,,,,,,0,0,0
1818,Jailbait,,,,,,,,3,3,0
1819,Breaking the Girls,,,,,,,,2,2,0
1820,Byzantium,,,,,,,,12,10 and 2 vampires,0
1821,Hit & Run,,,,,,,,0,0,0
1822,Columbus Circle,,,,,,,,5,5,0
1823,Cypher,,,,,,,,16,16,0
1824,The Horse Whisperer,,,,,,,,1,1,0
1825,Another Happy Day,,,,,,,,1,1,0
1827,A Million Ways to Die in the West,,,,,,,,16,16,0
1828,Teeth & Blood,<br/>&#9733;Best Font - 2015&#9733;,<br/>&#9733;Worst Soundtrack - 2015&#9733;,<br/>&#9733;Worst Fight Scenes - 2015&#9733;,<br/>&#9733;Worst TV News Reporter - 2015&#9733;,,,,4,1 human and 3 vampires,0
1829,22 Jump Street,,,,,,,,4,4,0
1830,Frozen,,,,,,,,6,1 ship,0
1831,High Road,,,,,,,,0,0,0
1832,Mars Attacks!,,<br/>&#9733;Best Costume Design - 2015&#9733;,,,,,,204,"122 people, 78 aliens, 2 dogs, 1 dove and 1 bird",0
1833,Snowpiercer,,,,,,,,15136,136 people and a vat of bugs,0
1834,Cocktail,,,,,,,,1,1,0
1835,Pusher (2012),,,,,,,,1,1,0
1836,Romancing the Stone,,,,,,,,5,"3, a snake and a crocodile",0
1837,Transcendence,,,,,,,,17,17,0
1838,Highway to Hell,,,,,,,,139,"137 people, a demon and Hellcop",0
1839,Young Frankenstein,,,,,,,,0,0,0
1840,Ice Age,,,,,,,,20,"1, 18 dodos and 1 saber-toothed tiger",0
1841,Changeling,,,,,,,,11,11,0
1842,In Dreams,,,,,,,,5,5,0
1843,Mrs. Doubtfire,,,,,,,,0,0,0
1844,It Follows,,,,,,,,3,2 people and 1 bug,0
1845,The Passion of the Christ,,,,,,,,4,3 and a snake,0
1846,Into the Storm,,,,,,,,7,7,0
1847,Monsturd,,,,,,,,12,11 and 1 Shitman,0
1848,Why Stop Now,,,,,,,,0,0,0
1849,Ultimate Avengers: The Movie,,,,,,,,84,30 people and 54 aliens,0
1850,Pour Elle a.k.a. Anything for Her,,,,,,,,3,3,0
1851,Choking Hazard,,,,,,,,9,6 people and 3 zombies,0
1852,Trespassing a.k.a. Evil Remains,,,,,,,,7,7,0
1853,Nightcrawler,,,,,,,,30,30,0
1854,Cloud Atlas,,,,,,,,169,168 and a dog,0
1855,Neighbors,,,,,,,,0,0,0
1856,The Grudge,,,,,,,,11,10 and a cat,0
1857,The Thirteenth Floor,,,,,,,,6,6 simulations,0
1858,Just Before Dawn,,,,,,,,6,6,0
1859,Being John Malkovich,,,,,,,,0,0,0
1860,Vanilla Sky,,,,,,,,1,1,0
1861,Perfect Sisters,,,,,,,,1,1,0
1897,Trauma (2004),,,,,,,,1,1,0
1862,The House October Built,,,,,,,,0,0,0
1863,Revolt of the Zombies,,,,,,,,3,3,0
1864,L.A. Confidential,,,,,,,,31,31,0
1865,Lonely Hearts,,,,,,,,11,"8 people, 2 fetuses and a little girl",0
1866,The Last Man,,,,,,,,0,0,0
1867,The Babadook,,,,,,,,61,1 dog and 60 worms,0
1868,Greenberg,,,,,,,,2,1 unidentified drowned animal and 1 fetus,0
1869,Sunset Strip,,,,,,,,0,0,0
1870,Sympathy for Delicious,,,,,,,,1,1,0
1871,The Angriest Man in Brooklyn,,,,,,,,2,1 and a cat,0
1872,Oldboy (2013),,,,,,,,39,"28 people, 1 mouse, 10 baby mice, 7 motherfuckers and 1 motherfucking",0
1873,Paranormal Entity,,,,,,,,2,2,0
1874,Dysfunctional Friends,,,,,,,,0,0,0
1875,Wild Things,,,,,,,,3,3,0
1876,This is the End,,,,,,,,37,36 and a demon,0
1877,Lara Croft: Tomb Raider,,,,,,,,11,11,0
1878,The Bling Ring,,,,,,,,0,0,0
1879,RoboCop (2014),,,,,,,,113,"55 people, 54 EM-208's, 4 ED-209's and 1 motherfucker",0
1880,Fast Times at Ridgemont High,,,,,,,,1,1 fetus,0
1881,Animal House,,,,,,,,1,1 horse and a guitar,0
1882,Wolfcop,,,,,,,,23,20 people and 3 shapeshifters,0
1883,The Cable Guy,,,,,,,,0,0,0
1884,Dead in Tombstone,,,,,,,,43,43,0
1885,Mean Girls,,,,,,,,0,0,0
1886,Lara Croft Tomb Raider: The Cradle of Life,,,,,,,,48,44 and 4 shadow guardians,0
1887,Dark Skies,,,,,,,,550,3 flocks of birds,0
1888,Trauma (1993),,,,,,,,13,"10 people, 1 butterfly, 1 lizard and a decapitated newborn",0
1889,Earth to Echo,,,,,,,,0,0,0
1890,They Came Together,,,,,,,,1,1,0
1891,Frankie & Alice,,,,,,,,1,1,0
1892,The Diving Bell and the Butterfly,,,,,,,,0,0,0
1893,The Samaritan,,,,,,,,7,7 and 0 motherfuckers,0
1894,The Winning Season,,,,,,,,0,0,0
1895,Home Sweet Home (2013),,,,,,,,2,2,0
1896,Leprechaun 2,,,,,,,,5,5,0
1898,Peacock,,,,,,,,1,1,0
1899,Austin Powers: International Man of Mystery,,,,,,,,25,18 and 7 fembots,0
1900,Leprechaun 3,,,,,,,,5,5,0
1901,Night at the Museum,,,,,,,,1,1 caveman statue,0
1902,"Dictator, The Dictator",,,,,,,,2,2,0
1903,Anatomy of a Love Seen,,,,,,,,0,0,0
1904,Garden State,,,,,,,,1,1 hamster,0
1905,"Les Misérables, Les Miserables",,,,,,,,35,35,0
1906,Sin City: A Dame to Kill For,,,,,,,,66,66,0
1907,Rabbit Hole,,,,,,,,0,0,0
1908,The Collection (2012),,,,,,,,129,"126, 2 dogs and 1 large cockroach",0
1909,The Aviator,,,,,,,,3,3,0
1910,Tommy,,,,,,,,3,3,0
1911,Boyhood,,,,,,,,0,0,0
1912,The Judge,,,,,,,,2,2,0
1913,Frequently Asked Questions About Time Travel,,,,,,,,0,0,0
1914,Jurassic World,,,,,,,,35,"19 people, a pig, a goat, a bug, 1 Ankylosaurus, 6 Apatosaurus, 1 Dimorphodon, 1 Pteranondon, 3 Velociraptors and 1 Indominus Rex ",0
1915,21 Grams,,,,,,,,4,4,0
1917,"Night Watch (aka Nochnoi dozor, a.k.a Nochnoy dozor)",,<br/>&#9733;Best Cinematography - 2015&#9733;,,,,,,48,"46, a bug and a bird",0
1918,Rid of Me,,,,,,,,0,0,0
1919,Austin Powers: The Spy Who Shagged Me,,,,,,,,6,5 and a fembot,0
1916,Leprechaun 4: In Space,,,,,,,,12,"6, an alien creature, a spider, a scorpion, a fly, a cyborg, and 1 Mittenspider",0
1920,Austin Powers in Goldmember,,,,,,,,4,3 and a fembot,0
1921,Police Academy,,,,,,,,0,0,0
1922,"Maze Runner, The Maze Runner",,,,,,,,17,14 and 3 Grievers,0
1924,RoboCop 2,,,,,,,,58,58,0
1925,A Beautiful Mind,,,,,,,,0,0,0
1926,Trollhunter,,,,,,,,8,"3 people, 4 trolls and 1 sheep",0
1927,Wyrmwood: Road of the Dead,,,,,,,,70,8 people and 62 infected,0
1928,Adore,,,,,,,,0,0,0
1929,Evil Dead (2013),,,,,,,,6,5 and a dog,0
1930,RoboCop 3,,,,,,,,53,50 and 3 RoboNinjas,0
1931,"Mission: Impossible II, Mission Impossible, M:i-2",,,,,,,,280,280,0
1932,Deep Rising,,,,,,,,4207,"4,206 and one real unfriendly sea monster",0
1933,"Unborn, The Unborn",,,,,,,,7,7,0
1934,The Exorcist,,,,,,,,4,4,0
1935,Traffic,,,,,,,,7,7,0
1936,Leprechaun: In the Hood,,,,,,,,11,11,0
1937,"Twelve Monkeys, 12 Monkeys",,,,,,,,8,7 and a spider,0
1938,Star Trek: The Motion Picture,,,,,,,,2412,"2,412",0
1940,Compulsion,,,,,,,,1,1 bird,0
1939,Let's Be Cops,,,,,,,,3,3,0
1941,Whiplash,,,,,,,,1,1,0
1942,Flowers in the Attic (1987),,,,,,,,5,4 and a mouse,0
1943,Dream House,,,,,,,,2,2,0
1944,Coldwater,,,,,,,,8,8,0
1945,The Town That Dreaded Sundown (2014),,,,,,,,15,15,0
1946,Bring Me the Head of the Machine Gun Woman,,,,,,,,20,20,0
1948,The Others,,,,,,,,0,0,0
1949,White Bird in a Blizzrd,<br/> (I did not see that affair coming.),,,,,,,1,1,0
1950,Mean Creek,,,,,,,,2,1 and a snail,0
1951,Stage Fright,,,,,,,,7,7,0
1952,Zombie Hunter,,,,,,,,58,"4 people, 50 zombies, 1 cat and 3 out of place aliens",0
1953,Rosewood Lane,,,,,,,,4,4,0
1954,Run Lola Run,,,,,,,,0,0,0
1955,The Cider House Rules,,,,,,,,9,4 people and 5 fetuses,0
1956,Phone Booth,,,,,,,,4,4,0
1957,Our Man Flint,,,,,,,,14,"13 people, 1 fly and 1 bitch banged",0
1958,The Wolf of Wall Street,,,,,,,,7,"5 people, a fish and a seagull",0
1959,Run All Night,,,,,,,,22,22,0
1960,Legally Blonde,,,,,,,,0,0,0
1961,The Equalizer,,,,,,,,22,22,0
1962,The Fly (1986),,,,,,,,2,1 baboon and 1 Brundlefly,0
1963,The Faculty,,,,,,,,5,"3 people, 1 rat and 1 parasite spitting alien queen",0
1964,The Best of Times,,,,,,,,0,0,0
1965,Star Trek II: The Wrath of Khan,,,,,,,,27,25 and 2 earwigs,0
1966,Star Trek III: The Search for Spock,,,,,,,,97,95 plus 1 space-snake alien life form and 1 Klingon spacedog,0
1967,Star Trek IV: The Voyage Home,,,,,,,,0,0,0
1968,Star Trek V: The Final Frontier,,,,,,,,4,3 and 1 god dude,0
1969,Tammy,,,,,,,,0,0,0
1970,John Wick,,,,,,,,79,78 and a puppy,0
1971,Wreck-It Ralph,,<br/>&#9733;Best Closing Credits - 2015&#9733;,,,,,,10011,"2 and 10,009 Cy-Bugs",0
1972,"Mission: Impossible III, Mission Impossible ",,,,,,,,29,29,0
1974,Jupiter Ascending,,,,,,,,34,"7 people, 18 aliens, 7 gargoyles and 2 gun-armed guards",0
1973,Stand By Me,,,,,,,,0,0,0
1975,Godzilla: Final Wars,,,,,,,,104,"71 people, 20 Xilians, Manda, Gigan, Upgraded Gigan, 1 tuna eating monster, 1 giant jumping spider, 1 giant praying mantis, 1 pterodactyl monster, 1 armadillo monster, 1 dog monster, 2 random monster and a 3-headed monster",0
1976,This Is Where I Leave You,,,,,,,,0,0,0
1977,Pieces of Talent,,,,,,,,5,5,0
1978,Killer Mermaid,,,,,,,,9,8 and a killer mermaid,0
1979,The Chair,,,,,,,,3,3,0
1980,Walk of Shame,,,,,,,,0,0,0
1981,You Don't Know Jack,,,,,,,,130,130,0
1982,A Far Off Place,,,,,,,,18,"11 people, 5 elephants, 1 leopard and 1 oryx",0
1983,Getting That Girl,,,,,,,,0,0,0
1984,The Loft,,,,,,,,2,2,0
1985,Jacknife,,,,,,,,2,2,0
1986,Hardware,,,,,,,,586,585 and 1 Mark 13 cyborg,0
1987,Pitch Perfect,,,,,,,,0,0,0
1988,The Stranger,,,,,,,,14,"12, a cat and a mouse",0
1989,American Heist,,<br/>&#9733;Worst Bank Heist Movie - 2015&#9733;,,,,,,10,10,0
1990,The Hills Have Eyes (1977),,,,,,,,10,"7, a spider, a dog and a bird",0
1991,The Hills Have Eyes Part 2 (1985),,,,,,,,7,7,0
1992,Meet the Parents,,,,,,,,0,0,0
1993,The Fall of the House of Usher,,,,,,,,3,3,0
1994,Wolf (1994),,,,,,,,5,4 and a deer,0
1995,Falling Down (1993),,,,,,,,2,2,0
1996,Kill the Messenger,,,,,,,,0,0,0
1997,Stretch,,,,,,,,1,1,0
1998,Into the Wild,,,,,,,,11,"1 person, 1 moose, 1 fish and 8 more random animals",0
1999,Creature (2011),,,,,,,,12,"9 people, 1 white alligator, 1 snake and Lockjaw",0
2000,Wanted,"<br />(#2,000!)",,,,,,,662,"158 people, 501 rats and 3 flies",0
2001,Meet the Fockers,,,,,,,,0,0,0
2002,Police Academy 2: Their First Assignment,,,,,,,,1,1 fish,0
2003,Police Academy 3: Back in Training,,,,,,,,3,2 flies and 1 mosquito,0
2004,Wild,,,,,,,,2,1 mom and 1 horse,0
2005,Once Bitten,,,,,,,,0,0,0
2006,Taken 3,,,,,,,,18,18,0
2007,An American Werewolf in Paris,,,,,,,,34,"26 people, 7 werewolves and 1 dog",0
2008,A Good Marriage,,,,,,,,1,1,0
2009,Cake,,,,,,,,0,0,0
2010,Life of Crime,,,,,,,,1,1,0
2011,Flypaper,,,,,,,,8,8,0
2012,The Sacrament,,,,,,,,167,167,0
2013,The Other Woman,,,,,,,,0,0,0
2020,Havoc,,,,,,,,0,0,0
2014,Blended,,,,,,,,1,1 baby boar,0
2015,If I Stay,,,,,,,,3,3,0
2016,Dear White People,,,,,,,,0,0,0
2017,The Purge: Anarchy,,,,,,,,52,52,0
2018,Almost Mercy,,,,,,,,21,20 and a bird,0
2021,Ichi the Killer,,,,,,,,22,22,0
2022,Kristy,,,,,,,,10,9 and a dog,0
2023,Prisoners,,,,,,,,4,4,0
2024,Observe and Report,,,,,,,,0,0,0
2025,Creep (2014),,,,,,,,1,1,0
2026,White Rabbit,,,,,,,,3,1 person and 2 rabbits,0
2027,Horns,,,,,,,,4,4,0
2028,Focus,,,,,,,,0,0,0
2029,The Snowtown Murders,,,,,,,,7,"3 people, 1 dog and 3 deer",0
2030,Heavenly Creatures,,,,,,,,1,1,0
2031,Brotherhood (2010),,,,,,,,1,1,0
2032,White Chicks,,,,,,,,0,0,0
2033,What We Do in the Shadows,,,,,,,,9,"6 people, 2 vampires and a chicken",0
2034,Men in Black,,,,,,,,19,"5 humans, 5 aliens, 5 roaches, 1 dragonfly and 3 flies",0
2035,Men in Black II,,,,,,,,11,1 human and 10 aliens,0
2036,The Perfect Host,,,,,,,,0,0,0
2037,The Hills Have Eyes 2 (2007),,,,,,,,17,16 and a rat,0
2038,Dances with Wolves,,,,,,,,103,"52 people, 2 dogs, 41 buffalo, 7 horses and a wolf",0
2039,Duress,,,,,,,,5,4 and a bird,0
2040,Bad Words,,,,,,,,0,0,0
2041,"Run, Hide, Die",,,,,,,,6,6,0
2042,Circle,,,,,,,,50,49 and a fetus,0
2043,Wicked Blood,,,,,,,,9,9,0
2044,In Your Eyes,,,,,,,,0,0,0
2045,Beneath the Planet of the Apes (1970),,,,,,,,17,"10 humans, 1 horse and 6 apes",0
2046,Escape from the Planet of the Apes,,,,,,,,6,"2 humans, 3 apes and 1 chimpanzee",0
2047,Leatherface: The Texas Chainsaw Massacre III,,,,,,,,7,6 and 1 armadillo,0
2048,The Art of the Steal,,,,,,,,0,0,0
2049,Wild at Heart,,,,,,,,9,8 and a fetus,0
2050,Rampart,,,,,,,,1,1,0
2051,Quarantine 2: Terminal,,,,,,,,20,19 and a fetus,0
